economy_label,vessel_type,avg_vessel_age,median_time_in_port,avg_size_GT,avg_cargo_capacity_DWT,avg_container_capacity_TEU,max_size_GT,max_cargo_capacity_DWT,max_container_capacity_TEU,period
Germany,Roll-on/ roll-off ships,17,,33374,13523.0,,100430,55828.0,,2023-S2
Germany,Container ships,15,1.03,53803,,4932.0,237000,,24004.0,2023-S2
Germany,Passenger ships,21,,11863,,,206285,,,2023-S2
Greece,All_Vessel_Types,24,0.82,8881,7251.0,4282.0,237000,299988.0,24004.0,2023-S2
Greece,Liquid bulk carriers,23,0.6,5004,7796.0,,156392,299988.0,,2023-S2
Greece,Liquefied petroleum gas carriers,26,0.96,5250,6249.0,,25004,28702.0,,2023-S2
Greece,Liquefied natural gas carriers,10,1.37,105757,85272.0,,118363,94665.0,,2023-S2
Greece,Dry bulk carriers,28,0.62,7113,12039.0,,94232,179759.0,,2023-S2
Greece,Dry breakbulk carriers,34,1.19,3001,4186.0,,40250,64942.0,,2023-S2
Greece,Roll-on/ roll-off ships,36,,15574,6428.0,,76420,44574.0,,2023-S2
Greece,Container ships,16,1.0,45972,,4282.0,237000,,24004.0,2023-S2
Greece,Passenger ships,24,,8428,,,186364,,,2023-S2
Indonesia,All_Vessel_Types,20,1.27,7868,16732.0,1278.0,161175,319247.0,9365.0,2023-S2
Indonesia,Liquid bulk carriers,16,1.34,8536,13391.0,,161175,319247.0,,2023-S2
Indonesia,Liquefied petroleum gas carriers,21,1.08,8398,9250.0,,53573,59479.0,,2023-S2
Indonesia,Liquefied natural gas carriers,17,1.42,94351,72714.0,,127088,98954.0,,2023-S2
Indonesia,Dry bulk carriers,18,2.58,25426,44761.0,,109716,211135.0,,2023-S2
Indonesia,Dry breakbulk carriers,21,1.14,5134,6941.0,,57934,72562.0,,2023-S2
Indonesia,Roll-on/ roll-off ships,31,,9757,4680.0,,71383,32956.0,,2023-S2
Indonesia,Container ships,16,0.96,14204,,1278.0,96704,,9365.0,2023-S2
Indonesia,Passenger ships,21,,5011,,,130818,,,2023-S2
Italy,All_Vessel_Types,28,1.25,11254,20537.0,3970.0,236184,319202.0,24000.0,2023-S2
Italy,Liquid bulk carriers,20,1.23,18259,31333.0,,160087,319202.0,,2023-S2
Italy,Liquefied petroleum gas carriers,15,1.73,8406,9410.0,,35346,44639.0,,2023-S2
Italy,Liquefied natural gas carriers,11,2.02,63244,49404.0,,116779,96889.0,,2023-S2
Italy,Dry bulk carriers,16,3.13,24171,41791.0,,94817,181010.0,,2023-S2
Italy,Dry breakbulk carriers,20,2.0,6532,9171.0,,66870,71954.0,,2023-S2
